i,lid,rc,expansion,time,recall
243, 33.250372161108906, 1.844274640083313, 1.0281733274459839, 0.0001750469207763672, 0.51
244, 42.5681383604887, 1.4813239574432373, 1.016743540763855, 0.00017080307006835937, 0.23
245, 21.921568209411422, 2.0254006385803223, 1.0289194583892822, 0.00015878677368164062, 0.31
246, 26.819985649991867, 1.8013477325439453, 1.0279697179794312, 0.00017251968383789063, 0.44
247, 51.55794295317288, 1.4051593542099, 1.0129828453063965, 0.00016164779663085938, 0.11
248, 10.473432458903817, 1.7063885927200317, 1.0475447177886963, 0.00015010833740234376, 0.55
249, 46.68200280119762, 1.5606129169464111, 1.0164364576339722, 0.0001628875732421875, 0.22
250, 41.85516073874991, 1.6477924585342407, 1.018853783607483, 0.00017647743225097657, 0.22
251, 27.143387475338667, 1.5855193138122559, 1.022263765335083, 0.0001632213592529297, 0.56
252, 68.10581444402145, 1.324683427810669, 1.0114415884017944, 0.00018978118896484375, 0.2
253, 85.08451647507532, 1.3020058870315552, 1.008863091468811, 0.00016493797302246093, 0.01
254, 39.05067626738603, 1.7975153923034668, 1.0182172060012817, 0.00017762184143066406, 0.34
255, 45.157618613916775, 1.522009253501892, 1.0159385204315186, 0.00020494461059570313, 0.36
256, 46.7384668580596, 1.5136966705322266, 1.0187917947769165, 0.00016622543334960939, 0.12
257, 49.341689560799544, 1.419967770576477, 1.0136303901672363, 0.00016698837280273437, 0.1
258, 49.826318359139535, 1.461186408996582, 1.0161081552505493, 0.00018820762634277343, 0.19
259, 32.0537648606049, 1.801218032836914, 1.025349736213684, 0.00016188621520996094, 0.5
260, 48.996254595877915, 1.6109519004821777, 1.0173628330230713, 0.00017771720886230468, 0.3
261, 59.77618876208277, 1.4006876945495605, 1.0123056173324585, 0.00017743110656738282, 0.05
262, 62.446883848567474, 1.4447485208511353, 1.0132235288619995, 0.00016269683837890624, 0.04
263, 16.985839784114386, 1.6960099935531616, 1.0493043661117554, 0.00015072822570800782, 0.65
264, 39.903730234864405, 1.5607830286026, 1.0147294998168945, 0.0001842498779296875, 0.19
265, 25.707079690698027, 2.7875564098358154, 1.1169500350952148, 0.00015778541564941405, 0.53
266, 56.11503334881176, 1.4677996635437012, 1.0176838636398315, 0.00018186569213867186, 0.11
267, 28.55830522949197, 1.4499024152755737, 1.019070029258728, 0.00016846656799316407, 0.0
